weekday_id,airbnb_weekday_price,room_type,room_shared,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,city_centre_dist,metro_dist,lng,lat
paris2861,498.1824960387734,Entire home/apt,False,4.0,10.0,96.0,1,3.5946603207963013,0.2363137220986695,2.3987700000000003,48.86768
paris2862,121.3999440768012,Private room,False,2.0,9.0,94.0,1,3.591239712231961,0.192696978442508,2.37997,48.88342
paris2863,199.92543573492404,Entire home/apt,False,4.0,9.0,90.0,2,3.541456563798521,0.2362103895648758,2.3797900000000003,48.88296
paris2864,195.2651691676764,Entire home/apt,False,2.0,9.0,96.0,1,3.8973061950099206,0.0699822100570649,2.4024400000000004,48.86898
paris2865,158.91508994314475,Entire home/apt,False,2.0,9.0,92.0,0,3.477909651858995,0.5175180829939836,2.39521,48.87049
paris2866,195.4981824960388,Entire home/apt,False,2.0,7.0,80.0,2,4.311753559001773,0.2367550964574101,2.37412,48.8927
paris2867,521.7168422033741,Entire home/apt,False,4.0,10.0,100.0,2,3.312955950587651,0.4168714155215252,2.39157,48.8718
paris2868,181.28436946593345,Entire home/apt,False,3.0,10.0,100.0,2,3.5030582004467865,0.3766682775672356,2.39658,48.86908
paris2869,217.6344486904651,Private room,False,3.0,9.0,95.0,1,4.205432361338759,0.1974443146658162,2.4100200000000003,48.85491
paris2870,157.0509833162457,Private room,False,2.0,10.0,100.0,1,4.138693582984736,0.1852929237879337,2.40035,48.87656
paris2871,285.208313915556,Entire home/apt,False,4.0,9.0,90.0,1,4.2791757000532415,0.0340733503834126,2.37649,48.89173
paris2872,173.59492962997484,Entire home/apt,False,2.0,9.0,96.0,0,4.597651467979787,0.3209470072308939,2.39233,48.88864
paris2873,586.261534159754,Private room,False,5.0,10.0,100.0,1,3.1272463746127825,0.1496720228649084,2.39537,48.85711
paris2874,216.935408705378,Entire home/apt,False,2.0,8.0,95.0,1,3.753624963775653,0.2214597195817874,2.391,48.879
paris2875,301.2862335725604,Entire home/apt,False,4.0,9.0,88.0,1,3.616356214247968,0.6294906575384772,2.4018,48.85982
paris2876,171.03178301798863,Entire home/apt,False,2.0,10.0,100.0,1,3.9164962454906056,0.3219599236844734,2.40021,48.87271
paris2877,312.7038866623171,Entire home/apt,False,4.0,10.0,99.0,1,3.337084049249812,0.1988325522204757,2.38714,48.87622
paris2878,122.09898406188834,Private room,False,3.0,8.0,86.0,1,3.898031724255572,0.2504326006587344,2.39135,48.88067
paris2879,117.20570416627832,Private room,False,2.0,10.0,98.0,1,3.455941547806186,0.2030158885763087,2.38537,48.879
paris2880,212.04212880976792,Entire home/apt,False,4.0,9.0,91.0,2,3.0311112273471084,0.4945450314627402,2.39102,48.86685
paris2881,181.9834094510206,Entire home/apt,False,2.0,9.0,98.0,1,4.081521305984423,0.2876838457247163,2.40613,48.86693
paris2882,293.130767079877,Entire home/apt,False,3.0,10.0,99.0,1,2.767378508907579,0.138817332553319,2.39047,48.85683
paris2883,183.1484760928325,Entire home/apt,False,2.0,10.0,100.0,0,4.515926579195671,0.1203480762363372,2.40526,48.87778
paris2884,291.9657004380651,Entire home/apt,False,2.0,9.0,91.0,0,3.4419138585194307,0.1534687877577853,2.39933,48.85287
paris2885,151.45866343554852,Entire home/apt,False,2.0,6.0,71.0,1,2.7221222643272505,0.3091096373978048,2.3849400000000003,48.86875
paris2886,146.5653835399385,Private room,False,2.0,9.0,77.0,1,3.2637754450619783,0.5437460492467112,2.3918,48.87064
paris2887,131.8855438531084,Private room,False,2.0,9.0,95.0,1,3.6153123257545534,0.0478739120982429,2.38835,48.87906
paris2888,120.93391742007644,Private room,False,6.0,9.0,89.0,1,3.0722520261902417,0.0674076526660092,2.38476,48.874390000000005
paris2889,241.16879485506573,Entire home/apt,False,4.0,9.0,91.0,1,3.5330067871418844,0.24043704437569,2.39816,48.86716
paris2890,289.8685804828036,Entire home/apt,False,2.0,10.0,97.0,1,2.99368188203457,0.2952085114092857,2.38102,48.87599
paris2891,169.63370304781435,Private room,False,6.0,9.0,95.0,1,2.998893606755712,0.1498003644882844,2.3834,48.87442
paris2892,120.93391742007644,Private room,False,6.0,9.0,75.0,1,3.0934682007915377,0.084514573951488,2.3848700000000003,48.8746
paris2893,138.87594370397989,Private room,False,2.0,8.0,87.0,1,3.7088127196146026,0.1770016362897607,2.3943,48.87558
paris2894,176.15807624196106,Entire home/apt,False,2.0,10.0,93.0,1,3.2924880407020325,0.0973548722815581,2.36692,48.88467
paris2895,236.97455494454283,Entire home/apt,False,4.0,10.0,100.0,1,4.064063887294515,0.2326061575615029,2.40743,48.85071
paris2896,339.73343275235345,Entire home/apt,False,4.0,9.0,93.0,1,3.884036399063382,0.1136130548874541,2.39816,48.87454
paris2897,120.93391742007644,Private room,False,6.0,9.0,92.0,1,3.118053205319733,0.1245998910948567,2.38483,48.874970000000005
paris2898,3037.0957218752915,Entire home/apt,False,3.0,10.0,100.0,1,3.291286845838437,0.2434951435257373,2.39532,48.86592
paris2899,156.35194333115854,Entire home/apt,False,2.0,8.0,100.0,1,3.555086011661801,0.2154337466871795,2.3986,48.86693
paris2900,272.1595675272626,Entire home/apt,False,2.0,10.0,99.0,1,3.202185809809689,0.1729103867675722,2.38577,48.87541
paris2901,235.34346164600612,Entire home/apt,False,2.0,10.0,98.0,1,3.0425320633738555,0.5088130943792631,2.39112,48.86696
paris2902,154.02181004753473,Entire home/apt,False,3.0,9.0,90.0,1,3.556087834013893,0.3139111064063202,2.40038,48.86252
paris2903,236.74154161618048,Entire home/apt,False,3.0,10.0,97.0,0,4.132143704603606,0.0331604944088231,2.404,48.872
paris2904,229.05210178022185,Entire home/apt,False,2.0,9.0,91.0,1,3.333462055761651,0.6214438193788848,2.39318,48.87026
paris2905,220.1975953024513,Private room,False,4.0,9.0,85.0,2,3.7807156134801447,0.0120083059661312,2.3736,48.88767
paris2906,387.96719172336657,Entire home/apt,False,2.0,9.0,95.0,1,3.783683843529956,0.4299607554301821,2.40383,48.86129
paris2907,133.0506104949203,Private room,False,2.0,9.0,91.0,1,3.638738331035504,0.1991140204039067,2.39896,48.86847
paris2908,394.02553826078855,Entire home/apt,False,4.0,10.0,97.0,1,3.6673899179364673,0.057721392226408,2.38884,48.8794
paris2909,206.2167956007084,Entire home/apt,False,2.0,10.0,97.0,1,3.630388401091521,0.2823593289997278,2.40118,48.86329
paris2910,229.05210178022185,Entire home/apt,False,3.0,7.0,84.0,1,3.9677114117309022,0.2594340544902588,2.40605,48.85052
paris2911,373.2873520365365,Entire home/apt,False,6.0,8.0,83.0,2,3.2350026937561376,0.2633149919670701,2.39681,48.85776
paris2912,301.053220244198,Private room,False,2.0,10.0,98.0,1,3.349314941515702,0.1284251487776243,2.38335,48.87893
paris2913,219.96458197408893,Entire home/apt,False,4.0,10.0,98.0,1,3.38806078978825,0.4667956084178895,2.39516,48.86864
paris2914,127.22527728586076,Private room,False,2.0,10.0,93.0,1,3.891929127606976,0.3872282375252973,2.4053400000000003,48.86119
paris2915,578.1060676670705,Entire home/apt,False,5.0,9.0,88.0,1,3.2762727603476587,0.2305488310295258,2.38645,48.87591
paris2916,139.34197036070464,Private room,False,2.0,10.0,96.0,1,4.206780039009918,0.1897515170654072,2.40395,48.87362
paris2917,578.1060676670705,Entire home/apt,False,5.0,10.0,91.0,1,3.342349840727741,0.2431009139683002,2.3867700000000003,48.87657
paris2918,289.8685804828036,Entire home/apt,False,3.0,6.0,72.0,2,2.904352128958401,0.1757384382333403,2.38298,48.87344
paris2919,211.5761021530432,Entire home/apt,False,4.0,9.0,94.0,1,4.154874529697581,0.3090245800930123,2.35863,48.89374
paris2920,146.5653835399385,Private room,False,2.0,9.0,100.0,1,3.3911808816899787,0.0209856424382063,2.38918,48.87535
paris2921,292.8977537515146,Entire home/apt,False,2.0,9.0,91.0,1,2.330840119162579,0.3467863248777569,2.35391,48.87752
paris2922,281.71311399012023,Private room,False,2.0,10.0,98.0,1,4.460986526728483,0.1743625581453721,2.401,48.881
paris2923,367.2290054991146,Entire home/apt,False,4.0,10.0,94.0,1,3.2196050501749984,0.154223035589286,2.38678,48.87486
paris2924,158.91508994314475,Entire home/apt,False,2.0,9.0,90.0,1,3.03431128287774,0.500635830856231,2.39103,48.86691
paris2925,218.10047534718987,Entire home/apt,False,2.0,10.0,97.0,1,4.223760648942076,0.3322090936217992,2.35987,48.89427
paris2926,367.2290054991146,Entire home/apt,False,4.0,9.0,79.0,1,3.355155195357544,0.1424409742994056,2.3878,48.87596
paris2927,188.5077826451673,Private room,False,2.0,9.0,88.0,1,3.27415240866199,0.3733165440081217,2.39074,48.87203
paris2928,149.59455680864946,Entire home/apt,False,2.0,10.0,96.0,0,2.858876674578873,0.3821799130606466,2.37833,48.87597
