weekend_id,airbnb_weekend_price,room_type,room_shared,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,city_centre_dist,metro_dist,lng,lat
paris96,1169.9599217075215,Entire home/apt,False,6.0,9.0,89.0,3,1.176412885435685,0.2460788618224568,2.36286,48.86478
paris97,359.0735390064312,Entire home/apt,False,4.0,10.0,93.0,1,2.009754073382803,0.1545369832395944,2.34038,48.8727
paris98,1193.2612545437598,Entire home/apt,False,2.0,10.0,100.0,1,1.755200053033705,0.1010314369751066,2.33442,48.86672
paris99,347.4228725883121,Entire home/apt,False,2.0,10.0,100.0,1,2.0879953930416524,0.227233856977112,2.32839,48.86629
paris100,346.49081927486253,Private room,False,2.0,10.0,94.0,1,2.99159304258718,0.2054875276907529,2.32826,48.87809
paris101,469.0558299934757,Entire home/apt,False,4.0,9.0,89.0,1,0.6120133593576369,0.242549612206757,2.3566,48.86145
paris102,382.1418585143071,Entire home/apt,False,2.0,9.0,76.0,0,1.2339922691557317,0.0714122843513866,2.347,48.867
paris103,498.1824960387734,Entire home/apt,False,4.0,8.0,90.0,1,0.9883447038148694,0.2035024208519917,2.34004,48.85361
paris104,397.28772485786186,Entire home/apt,False,2.0,9.0,97.0,1,0.9699531632928168,0.3244768140101475,2.36287,48.86218
paris105,347.4228725883121,Private room,False,2.0,10.0,96.0,1,1.9460562762876987,0.1543958665587952,2.3345700000000003,48.86932
paris106,416.860844440302,Entire home/apt,False,2.0,10.0,100.0,1,2.3204752225742364,0.2326133346579169,2.32424,48.86562
paris107,480.70649641159474,Entire home/apt,False,4.0,9.0,81.0,1,1.2743110396000998,0.1916066781562818,2.354,48.868
paris108,613.9901202348775,Entire home/apt,False,3.0,10.0,100.0,1,2.1971070170904534,0.1118762790609941,2.34097,48.87474
paris109,372.82132537981175,Entire home/apt,False,2.0,10.0,98.0,1,1.0479554955194044,0.2286579068288934,2.339,48.854
paris110,275.6547674526983,Entire home/apt,False,2.0,9.0,92.0,0,1.7155162743523509,0.1665162304124089,2.33697,48.86796
paris111,373.98639202162366,Entire home/apt,False,2.0,9.0,80.0,0,1.2102301499697308,0.3223747642458778,2.34325,48.86547
paris112,373.98639202162366,Entire home/apt,False,2.0,8.0,68.0,0,1.1052799500047656,0.2896012407330061,2.3432,48.86426
paris113,1051.8221642277938,Entire home/apt,False,4.0,10.0,97.0,1,3.9774736120067353,0.0934357541397954,2.31434,48.88183
paris114,634.7283064591295,Private room,False,4.0,8.0,100.0,1,4.087836443018501,0.2359930292804594,2.31428,48.88318
paris115,346.49081927486253,Private room,False,2.0,9.0,89.0,1,1.224794946252266,0.4039118068410346,2.342,48.865
paris116,367.2290054991146,Entire home/apt,False,4.0,8.0,74.0,0,0.8049168298874372,0.4874219104356059,2.36,48.862
paris117,1170.192935035884,Private room,False,2.0,6.0,73.0,1,1.7141273520825215,0.0700112095322039,2.33482,48.86646
paris118,622.1455867275608,Entire home/apt,False,4.0,9.0,91.0,1,1.2596825868174883,0.2125012918529672,2.35133,48.86786
paris119,838.614968776214,Entire home/apt,False,4.0,10.0,98.0,2,1.0326688479639643,0.3841628302397605,2.33874,48.85563
paris120,277.9849007363221,Entire home/apt,False,2.0,9.0,97.0,0,1.3238276006320742,0.2880732814031399,2.357,48.86814
paris121,364.8988722154907,Entire home/apt,False,2.0,9.0,82.0,0,3.566319260248217,0.1484119483374909,2.30837,48.86968
paris122,413.3656445148663,Entire home/apt,False,3.0,9.0,80.0,1,3.638634928738988,0.1230849582576891,2.30853,48.87141
paris123,353.2482057973716,Entire home/apt,False,2.0,8.0,93.0,0,3.691717956891887,0.1401904730719242,2.30809,48.87189
paris124,353.2482057973716,Entire home/apt,False,2.0,9.0,78.0,0,3.454184530006625,0.1040870642179593,2.31015,48.86982
paris125,324.35455308043623,Private room,False,2.0,9.0,92.0,1,1.1898166246119009,0.1855240943569785,2.337,48.854
paris126,373.98639202162366,Entire home/apt,False,2.0,10.0,83.0,0,1.012952013677544,0.1773163933095149,2.34208,48.85078
paris127,373.98639202162366,Entire home/apt,False,2.0,9.0,87.0,0,0.9392728979747909,0.1580902205034958,2.34241,48.85158
paris128,336.00521949855533,Private room,False,2.0,10.0,100.0,1,1.0488065765408046,0.0386980258361736,2.353,48.86600000000001
paris129,341.5975393792525,Entire home/apt,False,4.0,8.0,89.0,1,1.2586214287929902,0.2294128034751493,2.35679,48.86757
paris130,238.13962158635476,Entire home/apt,False,3.0,9.0,87.0,0,2.111537515988826,0.1767560550883639,2.3486700000000003,48.87537
paris131,456.473110261907,Private room,False,2.0,9.0,87.0,1,3.0378138588673425,0.157186426246394,2.32812,48.87854
paris132,552.4746015472085,Entire home/apt,False,4.0,9.0,93.0,1,1.2293724988418389,0.178186215882209,2.3516,48.8676
paris133,357.4424457078945,Entire home/apt,False,2.0,10.0,70.0,0,0.8832741272747135,0.1847850574999443,2.357,48.864
paris134,282.4121539752074,Private room,False,3.0,9.0,90.0,2,1.1898197364465306,0.1855254837492282,2.337,48.854
paris135,628.90297325007,Entire home/apt,False,6.0,9.0,87.0,0,1.2742817667929762,0.1916363426361999,2.354,48.868
paris136,529.4062820393327,Entire home/apt,False,5.0,9.0,80.0,1,0.8832443062899539,0.1848090374417433,2.357,48.864
paris137,463.23049678441606,Private room,False,4.0,9.0,89.0,1,1.1770924765789952,0.1528927416645667,2.35604,48.86693
paris138,345.0927393046882,Entire home/apt,False,4.0,9.0,84.0,1,1.4955266816238764,0.0813845208522937,2.342,48.868
paris139,492.3571628297139,Entire home/apt,False,4.0,9.0,96.0,1,2.7376378598221405,0.1245175783667952,2.33191,48.877
paris140,484.2016963370305,Entire home/apt,False,4.0,9.0,93.0,1,1.7929024056729292,0.2073719051179495,2.33525,48.86783
paris141,385.8700717681052,Entire home/apt,False,2.0,9.0,91.0,0,1.7095292915156164,0.1972869775660706,2.33662,48.86767
paris142,532.9014819647684,Entire home/apt,False,4.0,9.0,94.0,1,0.9140096143218132,0.220638926615827,2.34311,48.86178
paris143,339.50041942399105,Entire home/apt,False,2.0,10.0,90.0,0,0.8832630567275269,0.1847833828027619,2.357,48.864
paris144,529.4062820393327,Entire home/apt,False,4.0,8.0,100.0,1,0.8832601532626411,0.1847989867187197,2.357,48.864
paris145,173.36191630161247,Private room,False,2.0,10.0,98.0,1,1.4895295031496345,0.1605406224546682,2.3658200000000003,48.86682
paris146,324.35455308043623,Private room,False,3.0,9.0,89.0,2,1.1898043214309997,0.1855274763781279,2.337,48.854
paris147,390.5303383353528,Private room,False,2.0,9.0,89.0,1,3.0043746307722574,0.1904648382554693,2.3285400000000003,48.87837
paris148,530.5713486811446,Entire home/apt,False,4.0,9.0,96.0,1,0.884517418004898,0.1743042073715203,2.34388,48.86196
paris149,370.7242054245503,Entire home/apt,False,2.0,10.0,96.0,1,1.0044163521883425,0.1116213317218178,2.35459,48.86552
paris150,295.4609003635008,Entire home/apt,False,2.0,9.0,88.0,0,1.0951890016043748,0.0948499084834828,2.35725,48.86596
paris151,1362.4289309348496,Entire home/apt,False,6.0,9.0,91.0,2,0.6224711784125724,0.147636874354634,2.34441,48.85552
paris152,403.11305806692144,Entire home/apt,False,2.0,10.0,96.0,1,0.8175294201675678,0.0941584675247372,2.343,48.853
paris153,263.07204772112965,Private room,False,2.0,9.0,82.0,1,2.5399034323039684,0.0955972765851045,2.33716,48.87697
paris154,706.7294249231056,Entire home/apt,False,4.0,10.0,100.0,2,1.54446567273236,0.1817591030786161,2.35136,48.87043
